PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
101114,Deron Williams,1610612742,DAL,31.,6-3,75,200,Illinois,USA,2005,1,3,46,649,134,247,-0.4,0.01,0.089,0.226,0.525,0.288
202324,Derrick Favors,1610612762,UTA,24.,6-10,82,265,Georgia Tech,USA,2010,1,3,35,580,296,54,0.3,0.105,0.204,0.238,0.55,0.089
201565,Derrick Rose,1610612741,CHI,27.,6-3,75,190,Memphis,USA,2008,1,1,45,714,159,215,-3.3,0.022,0.088,0.268,0.46,0.251
202682,Derrick Williams,1610612752,NYK,24.,6-8,80,240,Arizona,USA,2011,1,2,54,482,199,46,-6.8,0.039,0.207,0.241,0.533,0.094
1626164,Devin Booker,1610612756,PHX,19.,6-6,78,206,Kentucky,USA,2015,1,13,48,511,104,84,-10.,0.012,0.093,0.204,0.573,0.126
2734,Devin Harris,1610612742,DAL,32.,6-3,75,185,Wisconsin,USA,2004,1,5,40,296,84,83,-2.1,0.018,0.098,0.171,0.559,0.172
203906,Devyn Marble,1610612753,ORL,23.,6-6,78,200,Iowa,USA,2014,2,56,8,2,3,0,-25.3,0.042,0.125,0.157,0.155,0.
203473,Dewayne Dedmon,1610612753,ORL,26.,7-0,84,245,Southern California,USA,Undrafted,Undrafted,Undrafted,33,99,104,6,-4.5,0.093,0.24,0.137,0.542,0.03
203079,Dion Waiters,1610612760,OKC,24.,6-4,76,220,Syracuse,USA,2012,1,4,54,534,152,104,6.,0.019,0.091,0.175,0.491,0.098
1717,Dirk Nowitzki,1610612742,DAL,37.,7-0,84,245,None,Germany,1998,1,9,49,860,325,81,3.7,0.026,0.211,0.249,0.556,0.092
202388,Donald Sloan,1610612751,BKN,28.,6-3,75,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,34,200,95,138,-4.9,0.022,0.135,0.16,0.535,0.298
202700,Donatas Motiejunas,1610612745,HOU,25.,7-0,84,222,None,Lithuania,2011,1,20,14,78,30,14,-1.9,0.047,0.12,0.219,0.572,0.13
203926,Doug McDermott,1610612741,CHI,24.,6-8,80,225,Creighton,USA,2014,1,11,51,421,119,32,-4.5,0.02,0.087,0.161,0.541,0.043
203110,Draymond Green,1610612744,GSW,25.,6-7,79,230,Michigan State,USA,2012,2,35,51,722,485,369,21.9,0.061,0.218,0.188,0.583,0.275
2400,Drew Gooden,1610612764,WAS,34.,6-10,82,250,Kansas,USA,2002,1,4,22,70,75,13,-7.4,0.101,0.228,0.163,0.391,0.07
2730,Dwight Howard,1610612745,HOU,30.,6-11,83,265,None,USA,2004,1,1,44,641,528,65,-1.3,0.125,0.294,0.195,0.61,0.078
203939,Dwight Powell,1610612742,DAL,24.,6-11,83,240,Stanford,Canada,2014,2,45,52,349,240,36,-1.9,0.088,0.223,0.183,0.567,0.075
2548,Dwyane Wade,1610612748,MIA,34.,6-4,76,220,Marquette,USA,2003,1,5,50,936,202,235,-1.4,0.047,0.102,0.315,0.513,0.29
202734,E'Twaun Moore,1610612741,CHI,26.,6-4,76,191,Purdue,USA,2011,2,55,40,249,76,50,-1.9,0.016,0.087,0.152,0.543,0.103
202334,Ed Davis,1610612757,POR,26.,6-10,82,240,North Carolina,USA,2010,1,13,53,349,386,60,1.3,0.142,0.227,0.127,0.61,0.08
203901,Elfrid Payton,1610612753,ORL,21.,6-4,76,185,Louisiana-Lafayette,USA,2014,1,10,48,531,173,279,-4.1,0.034,0.098,0.208,0.472,0.302
202407,Elijah Millsap,1610612762,UTA,28.,6-6,78,225,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,20,36,35,19,6.6,0.038,0.179,0.146,0.384,0.164
202343,Elliot Williams,1610612763,MEM,26.,6-5,77,183,Memphis,USA,2010,1,22,5,8,4,4,-0.6,0.026,0.079,0.137,0.34,0.143
1626144,Emmanuel Mudiay,1610612743,DEN,19.,6-5,77,200,None,Democratic Republic of the Congo,2015,1,7,40,456,129,235,-4.2,0.017,0.1,0.251,0.407,0.304
202683,Enes Kanter,1610612760,OKC,23.,6-11,83,245,Kentucky,Turkey,2011,1,3,54,643,417,27,4.1,0.164,0.253,0.229,0.609,0.04
202339,Eric Bledsoe,1610612756,PHX,26.,6-1,73,190,Kentucky,USA,2010,1,18,31,632,125,190,-2.2,0.018,0.112,0.273,0.557,0.298
201569,Eric Gordon,1610612740,NOP,27.,6-4,76,215,Indiana,USA,2008,1,7,41,611,88,110,-2.2,0.008,0.063,0.201,0.555,0.126
203961,Eric Moreland,1610612758,SAC,24.,6-10,82,238,Oregon State,USA,Undrafted,Undrafted,Undrafted,5,4,6,0,18.1,0.059,0.2,0.067,0.515,0.
203475,Erick Green,1610612762,UTA,24.,6-4,76,185,Virginia Tech,USA,2013,2,46,9,13,6,3,-1.5,0.086,0.115,0.151,0.468,0.107
101141,Ersan Ilyasova,1610612765,DET,28.,6-10,82,235,None,Turkey,2005,2,36,52,589,282,55,-1.6,0.07,0.151,0.184,0.53,0.059
203095,Evan Fournier,1610612753,ORL,23.,6-7,79,205,None,France,2012,1,20,52,730,149,138,-3.2,0.014,0.088,0.2,0.572,0.133
202323,Evan Turner,1610612738,BOS,27.,6-7,79,220,Ohio State,USA,2010,1,2,55,542,260,243,1.9,0.025,0.164,0.188,0.5,0.254
203105,Festus Ezeli,1610612744,GSW,26.,6-11,83,265,Vanderbilt,Nigeria,2012,1,30,40,300,234,31,14.8,0.141,0.219,0.181,0.567,0.063
1626163,Frank Kaminsky,1610612766,CHA,22.,7-0,84,240,Wisconsin,USA,2015,1,9,52,397,209,71,0.7,0.042,0.166,0.175,0.504,0.106
202066,Garrett Temple,1610612764,WAS,29.,6-6,78,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,49,399,128,90,1.7,0.02,0.097,0.15,0.515,0.102
203914,Gary Harris,1610612743,DEN,21.,6-4,76,210,Michigan State,USA,2014,1,19,48,531,137,84,-4.6,0.022,0.081,0.158,0.558,0.087
202390,Gary Neal,1610612764,WAS,31.,6-4,76,210,Towson,USA,Undrafted,Undrafted,Undrafted,40,390,83,47,-9.,0.015,0.108,0.211,0.558,0.099
201588,George Hill,1610612754,IND,29.,6-3,75,188,Indiana Purdue-Indianapolis,USA,2008,1,26,46,598,178,150,2.6,0.023,0.099,0.164,0.566,0.144
101123,Gerald Green,1610612748,MIA,30.,6-7,79,205,None,USA,2005,1,18,47,477,128,45,2.2,0.018,0.099,0.2,0.5,0.06
201945,Gerald Henderson,1610612757,POR,28.,6-5,77,215,Duke,USA,2009,1,12,45,345,124,44,3.,0.024,0.146,0.204,0.513,0.085
203507,Giannis Antetokounmpo,1610612749,MIL,21.,6-11,83,222,None,Greece,2013,1,15,52,825,370,144,-4.2,0.049,0.185,0.213,0.569,0.129
203922,Glenn Robinson,1610612754,IND,22.,6-7,79,222,Michigan,USA,2014,2,40,38,143,60,21,-5.7,0.026,0.119,0.157,0.497,0.071
201609,Goran Dragic,1610612748,MIA,29.,6-3,75,190,None,Slovenia,2008,2,45,44,535,147,231,2.8,0.022,0.091,0.197,0.531,0.259
202330,Gordon Hayward,1610612762,UTA,25.,6-8,80,226,Butler,USA,2010,1,9,52,1033,265,191,1.,0.025,0.139,0.26,0.56,0.183
203476,Gorgui Dieng,1610612750,MIN,26.,6-11,83,241,Louisville,Senegal,2013,1,21,54,506,381,87,-1.7,0.091,0.235,0.173,0.601,0.101
202328,Greg Monroe,1610612749,MIL,25.,6-11,83,265,Georgetown,USA,2010,1,7,52,868,503,118,-2.2,0.117,0.244,0.244,0.562,0.128
202349,Greivis Vasquez,1610612749,MIL,29.,6-6,78,217,Maryland,Venezuela,2010,1,28,16,114,37,71,-7.4,0.013,0.112,0.195,0.463,0.321
203084,Harrison Barnes,1610612744,GSW,23.,6-8,80,225,North Carolina,USA,2012,1,7,36,440,164,63,12.9,0.043,0.124,0.172,0.564,0.08
202355,Hassan Whiteside,1610612748,MIA,26.,7-0,84,265,Marshall,USA,2010,2,33,45,549,494,15,0.9,0.127,0.309,0.195,0.619,0.02
203138,Hollis Thompson,1610612755,PHI,24.,6-8,80,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,51,455,169,54,-8.6,0.025,0.112,0.154,0.533,0.063
203546,Ian Clark,1610612744,GSW,24.,6-3,75,175,Belmont,USA,Undrafted,Undrafted,Undrafted,43,184,45,45,-2.4,0.025,0.094,0.211,0.567,0.165
101133,Ian Mahinmi,1610612754,IND,29.,6-11,83,250,None,France,2005,1,28,44,370,309,59,4.2,0.095,0.227,0.148,0.608,0.087
202697,Iman Shumpert,1610612739,CLE,25.,6-5,77,220,Georgia Tech,USA,2011,1,17,30,185,100,45,6.9,0.025,0.124,0.143,0.48,0.091
203477,Isaiah Canaan,1610612755,PHI,24.,6-0,72,201,Murray State,USA,2013,2,34,52,530,114,96,-9.7,0.01,0.091,0.198,0.524,0.129
202738,Isaiah Thomas,1610612738,BOS,27.,5-9,69,185,Washington,USA,2011,2,60,55,1185,165,365,4.4,0.018,0.081,0.286,0.56,0.331
202397,Ish Smith,1610612755,PHI,27.,6-0,72,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,48,560,171,319,-5.8,0.022,0.123,0.248,0.45,0.407
1626266,J.J. O'Brien,1610612762,UTA,23.,6-7,79,220,San Diego State,USA,Undrafted,Undrafted,Undrafted,2,0,1,0,-48.1,0.,0.25,0.077,0.,0.
2747,J.R. Smith,1610612739,CLE,30.,6-6,78,225,None,USA,2004,1,18,48,618,137,74,7.,0.021,0.085,0.19,0.535,0.077
201581,JJ Hickson,1610612743,DEN,27.,6-9,81,242,North Carolina State,USA,2008,1,19,20,137,87,16,-6.1,0.08,0.227,0.217,0.508,0.089
200755,JJ Redick,1610612746,LAC,31.,6-4,76,190,Duke,USA,2006,1,11,49,804,85,71,11.5,0.004,0.062,0.221,0.635,0.081
203960,JaKarr Sampson,1610612755,PHI,22.,6-9,81,214,St. John's (NY),USA,Undrafted,Undrafted,Undrafted,47,240,129,30,-8.1,0.046,0.158,0.188,0.49,0.071
203210,JaMychal Green,1610612763,MEM,25.,6-9,81,227,Alabama,USA,Undrafted,Undrafted,Undrafted,49,270,189,19,0.3,0.09,0.22,0.179,0.573,0.045
201580,JaVale McGee,1610612742,DAL,28.,7-0,84,270,Nevada,USA,2008,1,18,32,170,130,3,-6.9,0.15,0.238,0.217,0.583,0.016
203953,Jabari Parker,1610612749,MIL,20.,6-8,80,250,Duke,USA,2014,1,2,48,542,225,69,-4.4,0.061,0.119,0.185,0.525,0.078
203109,Jae Crowder,1610612738,BOS,25.,6-6,78,235,Marquette,USA,2012,2,34,55,773,282,102,5.3,0.03,0.138,0.178,0.572,0.085
1626143,Jahlil Okafor,1610612755,PHI,20.,6-11,83,275,Duke,USA,2015,1,3,47,806,347,58,-15.7,0.086,0.184,0.276,0.521,0.086
2037,Jamal Crawford,1610612746,LAC,35.,6-5,77,195,Michigan,USA,2000,1,8,53,717,92,115,3.3,0.009,0.065,0.241,0.522,0.137
2749,Jameer Nelson,1610612743,DEN,34.,6-0,72,190,Saint Joseph's,USA,2004,1,20,38,299,114,190,-6.9,0.02,0.108,0.167,0.465,0.289
202341,James Anderson,1610612758,SAC,26.,6-6,78,213,Oklahoma State,USA,2010,1,20,31,71,41,15,-4.,0.021,0.105,0.127,0.426,0.063
203516,James Ennis,1610612763,MEM,25.,6-7,79,210,Long Beach State,USA,2013,2,50,10,13,5,3,-4.,0.063,0.103,0.179,0.564,0.176
201935,James Harden,1610612745,HOU,26.,6-5,77,220,Arizona State,USA,2009,1,3,55,1542,349,387,-2.,0.024,0.165,0.327,0.594,0.354
201949,James Johnson,1610612761,TOR,28.,6-9,81,250,Wake Forest,USA,2009,1,16,40,199,89,40,1.,0.041,0.126,0.157,0.571,0.103
2592,James Jones,1610612739,CLE,35.,6-8,80,218,Miami (FL),USA,2003,2,49,35,117,37,13,-8.7,0.018,0.1,0.158,0.536,0.07
203949,James Michael McAdoo,1610612744,GSW,23.,6-9,81,240,North Carolina,USA,Undrafted,Undrafted,Undrafted,25,57,32,9,-14.5,0.097,0.146,0.18,0.549,0.108
203923,James Young,1610612738,BOS,20.,6-6,78,215,Kentucky,USA,2014,1,17,20,26,22,7,-7.9,0.019,0.132,0.098,0.397,0.06
203099,Jared Cunningham,1610612739,CLE,24.,6-4,76,195,Oregon State,USA,2012,1,24,40,104,29,19,-1.2,0.011,0.09,0.169,0.464,0.079
201162,Jared Dudley,1610612764,WAS,30.,6-7,79,225,Boston College,USA,2007,1,22,50,447,187,105,-0.2,0.027,0.126,0.128,0.623,0.103
203096,Jared Sullinger,1610612738,BOS,23.,6-9,81,260,Ohio State,USA,2012,1,21,54,536,457,124,5.5,0.109,0.273,0.215,0.473,0.15
204067,Jarell Eddie,1610612764,WAS,24.,6-7,79,218,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,14,42,13,2,-9.9,0.013,0.174,0.224,0.528,0.048
1626185,Jarell Martin,1610612763,MEM,21.,6-10,82,239,Louisiana State,USA,2015,1,25,2,2,0,0,1.9,0.,0.,0.209,0.2,0.
203950,Jarnell Stokes,1610612748,MIA,22.,6-9,81,255,Tennessee,USA,2014,2,35,5,7,2,1,16.6,0.,0.154,0.186,0.595,0.111
203950,Jarnell Stokes,1610612748,MIA,22.,6-9,81,263,Tennessee,USA,2014,2,35,2,0,2,0,25.3,0.333,0.25,0.,0.,0.
101127,Jarrett Jack,1610612751,BKN,32.,6-3,75,200,Georgia Tech,USA,2005,1,22,32,411,136,236,-5.8,0.009,0.138,0.213,0.505,0.34
201160,Jason Smith,1610612753,ORL,29.,7-0,84,240,Colorado State,USA,2007,1,20,46,288,110,33,-0.3,0.048,0.131,0.2,0.545,0.08
1891,Jason Terry,1610612745,HOU,38.,6-2,74,185,Arizona,USA,1999,1,10,45,264,48,59,2.3,0.01,0.062,0.151,0.571,0.124
201574,Jason Thompson,1610612744,GSW,29.,6-11,83,250,Rider,USA,2008,1,12,26,58,52,19,-8.7,0.059,0.244,0.156,0.544,0.16
201965,Jeff Ayres,1610612746,LAC,28.,6-9,81,250,Arizona State,USA,2009,2,31,5,6,3,2,11.3,0.077,0.1,0.127,1.042,0.2
201145,Jeff Green,1610612763,MEM,29.,6-9,81,235,Georgetown,USA,2007,1,5,53,646,241,98,-0.9,0.041,0.142,0.207,0.517,0.108
201952,Jeff Teague,1610612737,ATL,27.,6-2,74,186,Wake Forest,USA,2009,1,19,52,786,138,285,-1.3,0.017,0.082,0.258,0.543,0.314
203481,Jeff Withey,1610612762,UTA,25.,7-0,84,231,Kansas,USA,2013,2,39,38,182,148,17,4.7,0.105,0.211,0.151,0.586,0.051
